ID	Result
group_2594	-0.223712104621689
traP	-0.210620789649014
group_440	-0.0715594085991175
group_2550	-0.142484510106886
group_681	0.364850966470307
group_1597	-0.0754543674284942
fib_2...fib_1	-0.191364568346793
ktrB_2...ktrB_3...ktrB_1...ktrB	-0.164964957997064
mpr...gseA	-0.146587329582657
group_2379	-0.0308113348124532
catD_1...catD	-0.0589907459180999
group_1908	-0.166482718342564
group_471	0.278985020260332
group_157	-0.0656917885724423
group_1204	0.00815067079039587
group_922	-0.10988447481961
group_760	0.408071409653251
group_1841	-0.164659090833703
group_2110	-0.244486044111429
nreB...nreB_1...nreB_2	-0.0849966811079165
yezG_6...yezG_8...yezG_9...yezG_2...yezG_1...yezG_4...yezG_7...yezG_3...yezG_5	0.0557021145335019
group_1118	-0.00398328119333868
group_977	-0.121032505156683
mvaS...mvaS_2	0.184754731502195
group_2643	-0.0433768050779061
entA_5...entA_2...entA_1...entC3...entB...entA_3...entA_4...entC1...entE...entD_3...entE_2...entA_6...entC2...entC1_2...entC1_1	-0.076248364275694
blaZ...blaZ_1...blaZ_2...blaZ_3	0.102364482660723
ssbA_2...ssbA_1...ssbA_3...ssbA_4...ssbA_6...ssbA_5	0.37855087083835
group_1242	-0.164535602895459
group_53	0.410290128343552
rnr...rnr_1...rnr_2	-0.207249476209491
flr...flr_2...flr_1	-0.0882859121936965
group_475	-0.191798488800147
group_823	0.210940946159836
group_957	0.405286125264394
ptsG_1...ptsG_3...glcB_1...ptsG_2...bglF	-0.154017448787831
group_920	-0.1998792372119
agrA...dpiB	-0.0955764281129335
group_465	-0.0721064403231841
group_990	-0.0421205518569209
entB	0.149719184098303
group_1582	-0.120262562250458
dppC...oppC_1...oppC_2	-0.151622169133993
group_605	0.35175823044424
group_572	0.395705317900777
ybhF...ybhF_2...yxlF_2...artM...yxlF_1	-0.154100880802743
group_232	-0.103600198527427
yceI...yceI_2	-0.201673386324551
ftsE...fetA...fetA_2...fetA_1	-0.21283710210241
group_871	0.207401109042976
group_2600	-0.175620542382086
lpl2_7	-0.0373578290332711
group_1221	0.381224977999034
yefM	-0.151556115655721
group_1285	-0.0967464058250427
clpC_1...clpL_1...clpL...clpL_2	-0.183188523192088
group_104	-0.177632662383943
group_1994	-0.129131823741319
xerD_3...xerD_2...xerD_1...xerD_4	-0.0914014342414588
group_830	-0.191684071156113
group_406	-0.123402668639325
group_2318	-0.123637116252015
group_2607	-0.0694161071125486
group_171	-0.177384424547752
group_944	0.439674485887618
group_2591	-0.0448840411355634
trpA...trpA_1...trpA_2	-0.169276966554456
group_865	0.0343306609674013
group_1130	0.0294444769944827
group_918	0.217495164446838
group_2557	-0.101514030114869
group_1079	0.530439468030709
group_218	-0.11040537019449
yycJ_2	0.449905664281453
group_1216	0.381231609895932
group_1270	-0.0999314875937555
gsiC...gsiC_2...gsiC_1...nikB_4...nikB_3...nikB_2...gsiC_3...nikB_1...dppB...oppB_1...oppB_2	-0.0792914635897477
group_493	-0.108802706021056
group_225	-0.0573382731742479
sraP...sraP_2...sraP_1...sasG...sasG_1	0.115280208039476
group_2	-0.204438821541853
group_878	-0.17821730897337
group_630	-0.11214690296298
group_979	-0.0538591333396542
group_1663	-0.00839790837841021
relJ	-0.148416885534558
rnhA...rnhA_2	-0.12481802278776
nirC	-0.215209168176591
group_717	-0.233216276266126
group_520	0.391808869827045
group_779	0.361827525436247
slmA	-0.164381021312621
group_2269	-0.143902035273793
group_2105	0.530087198649191
group_530	-0.16941199634072
group_1308	0.46871721056497
group_933	-0.194227743555433
group_394	-0.208790939211643
essC_2...essC...essC_3...essC_1	-0.140491279546707
group_91	0.51954223835684
mvaA_1...mvaA...mvaA_2	-0.196235720446437
group_331	-0.163458290158775
group_1224	-0.165562003601334
group_1884	0.340020538543178
yfiZ_2	-0.139757509606638
blaR1_2...blaR1_3...blaR1_1...blaR1	0.175617234845291
group_448	0.159991022027679
group_2201	-0.0225868805955037
group_275	-0.20595477406544
group_234	-0.0862083028859363
group_1738	-0.0315247130597413
entA_2...entA_3...entE...entA_4...entA_5...speH_1	-0.0519887674047362
group_1924	0.463298561665477
group_256	-0.0994720381567301
emrB_4...emrB_1...emrY_1...ribZ_2...emrY_2...emrB_3	-0.164741182854683
fnbA_2...fnbA_1...fnbA_3...fnbA	0.175944943902348
ydaG...ydaG_1...ydaG_2	-0.21181595338093
ptsG_1...glcB_2...ptsG_3	-0.19506743444804
leuD...leuD_1...leuD_2	0.0988069898979127
group_603	0.334899043973039
yezG_6...yezG_4...yezG_7...yezG_3...yezG_1...yezG_2...yezG_5...yezG_8	0.0790117464848405
nudG...nudG_1...nudG_2	-0.121851787027305
entD_2...entE_2...entA_3...entD...entD_1...entA_2...entA_4...entC2...entA_5...entD_3	-0.0446438601469036
arsC_1...arsC...arsC_3	-0.116823466470165
ypeA	-0.161815648638706
group_1324	-0.194835503366273
group_1256	-0.110341492106887
tst_1...tst_2...tst_3	-0.112768267913812
isaB...isaB_1...isaB_2	-0.195242105125688
group_235	-0.115759269301936
lpl2_4...lpl2_2...lpl2_3...lpl2_6...lpl2_5...lpl2_8...lpl2_9	-0.0995912288095288
group_1904	-0.200173130986281
carA_2	-0.189658388036426
srmB...radD...uvrB_2	-0.0629702008007465
group_429	-0.17058795649756
group_2327	-0.148444267114538
group_2396	-0.0445268986493389
polA_1...polA_2	0.500283404273817
fib_3...fib_2...fib_1	-0.18039076674844
group_813	0.198568954463988
group_687	0.443799631519955
group_1461	-0.170737030541616
hylB_2...hylB...hylB_1	-0.147876292561596
group_195	0.467855705267324
group_97	-0.258101907722247
group_1627	-0.0796844350137067
group_105	-0.161421147007864
group_1120	0.183390953690451
speH_2...speC_3	-0.0605767056351968
lpl2_2	0.0315066800345572
group_548	-0.0924667684166213
