"sample_id","cc"
31131,"CC97"
31380,"CC97"
32142,"CC97"
32275,"CC97"
32361,"CC97"
32856,"CC97"
32921,"CC97"
32929,"CC97"
33318,"CC97"
33319,"CC97"
33322,"CC97"
33323,"CC97"
33324,"CC97"
33326,"CC97"
33327,"CC97"
33328,"CC97"
33330,"CC97"
33331,"CC97"
33332,"CC97"
33333,"CC97"
33334,"CC97"
33335,"CC97"
33337,"CC97"
33338,"CC97"
33340,"CC97"
33342,"CC97"
33343,"CC97"
33344,"CC97"
33347,"CC97"
33349,"CC97"
33350,"CC97"
33351,"CC97"
33353,"CC97"
33354,"CC97"
33358,"CC97"
33360,"CC97"
33361,"CC97"
33362,"CC97"
33363,"CC97"
33364,"CC97"
33365,"CC97"
33366,"CC97"
33367,"CC97"
33368,"CC97"
33369,"CC97"
33370,"CC97"
33372,"CC97"
33373,"CC97"
33374,"CC97"
33378,"CC97"
33380,"CC97"
33381,"CC97"
33382,"CC97"
33383,"CC97"
33384,"CC97"
33385,"CC97"
33386,"CC97"
33387,"CC97"
33388,"CC97"
33390,"CC97"
33391,"CC97"
33392,"CC97"
33393,"CC97"
33394,"CC97"
33395,"CC97"
33396,"CC97"
33400,"CC97"
33401,"CC97"
33402,"CC97"
33403,"CC97"
33405,"CC97"
33406,"CC97"
33407,"CC97"
33408,"CC97"
33409,"CC97"
33410,"CC97"
33412,"CC97"
33413,"CC97"
33415,"CC97"
33416,"CC97"
33417,"CC97"
33418,"CC97"
33419,"CC97"
33420,"CC97"
33423,"CC97"
33424,"CC97"
33425,"CC97"
33426,"CC97"
33427,"CC97"
33428,"CC97"
33429,"CC97"
33431,"CC97"
33432,"CC97"
33433,"CC97"
33434,"CC97"
33436,"CC97"
33437,"CC97"
33439,"CC97"
33440,"CC97"
33441,"CC97"
33442,"CC97"
33443,"CC97"
33444,"CC97"
33445,"CC97"
33446,"CC97"
33447,"CC97"
33448,"CC97"
33449,"CC97"
33451,"CC97"
33452,"CC97"
33455,"CC97"
33456,"CC97"
33457,"CC97"
33458,"CC97"
33459,"CC97"
33460,"CC97"
33461,"CC97"
33462,"CC97"
33463,"CC97"
33464,"CC97"
33465,"CC97"
33466,"CC97"
33467,"CC97"
33469,"CC97"
33471,"CC97"
33601,"CC97"
33744,"CC97"
33759,"CC97"
33922,"CC97"
34042,"CC97"
34165,"CC97"
34178,"CC97"
34217,"CC97"
34247,"CC97"
34262,"CC97"
34991,"CC97"
35767,"CC97"
35847,"CC97"
36316,"CC97"
36431,"CC97"
36896,"CC97"
36899,"CC97"
37034,"CC97"
37145,"CC97"
37168,"CC97"
37199,"CC97"
37223,"CC97"
37916,"CC97"
37981,"CC97"
37983,"CC97"
37987,"CC97"
37988,"CC97"
38404,"CC97"
38453,"CC97"
38487,"CC97"
38507,"CC97"
39984,"CC97"
40011,"CC97"
40044,"CC97"
40051,"CC97"
40845,"CC97"
40957,"CC97"
41630,"CC97"
41642,"CC97"
41649,"CC97"
41652,"CC97"
41657,"CC97"
41660,"CC97"
41662,"CC97"
41687,"CC97"
42778,"CC97"
43120,"CC97"
33336,"CC97"
33371,"CC97"
33377,"CC97"
33379,"CC97"
33422,"CC97"
33453,"CC97"
28211,"CC97"
33321,"CC97"
33329,"CC97"
33339,"CC97"
33357,"CC97"
33375,"CC97"
33450,"CC97"
23942,"CC97"
1691,"CC97"
1710,"CC97"
1712,"CC97"
2377,"CC97"
2441,"CC97"
33352,"CC97"
33355,"CC97"
33389,"CC97"
33397,"CC97"
33398,"CC97"
33414,"CC97"
33438,"CC97"
11477,"CC97"
29347,"CC97"
30398,"CC97"
30422,"CC97"
30586,"CC97"
30774,"CC97"
36067,"CC97"
36522,"CC97"
41494,"CC97"
15887,"CC97"
23110,"CC97"
1140,"CC97"
1659,"CC97"
4234,"CC97"
9919,"CC97"
16216,"CC97"
16222,"CC97"
19775,"CC97"
20918,"CC97"
22058,"CC97"
22133,"CC97"
30435,"CC97"
37041,"CC97"
41199,"CC97"
41230,"CC97"
13577,"CC97"
21992,"CC97"
22052,"CC97"
22111,"CC97"
22160,"CC97"
27875,"CC97"
22688,"CC97"
1714,"CC97"
33320,"CC97"
33325,"CC97"
33345,"CC97"
33356,"CC97"
33376,"CC97"
33399,"CC97"
33454,"CC97"
2452,"CC97"
2464,"CC97"
2465,"CC97"
4985,"CC97"
22013,"CC97"
6283,"CC97"
1144,"CC97"
1162,"CC97"
1182,"CC97"
1183,"CC97"
1711,"CC97"
1716,"CC97"
1502,"CC97"
1503,"CC97"
1706,"CC97"
10724,"CC97"
10725,"CC97"
18300,"CC97"
18301,"CC97"
18303,"CC97"
33341,"CC97"
33348,"CC97"
33359,"CC97"
33411,"CC97"
33421,"CC97"
33430,"CC97"
33435,"CC97"
29212,"CC97"
15983,"CC97"
2954,"CC97"
2955,"CC97"
41631,"CC97"
95,"CC15"
96,"CC15"
97,"CC15"
98,"CC15"
99,"CC15"
100,"CC15"
101,"CC15"
102,"CC15"
103,"CC15"
104,"CC15"
105,"CC15"
106,"CC15"
107,"CC15"
108,"CC15"
109,"CC15"
110,"CC15"
111,"CC15"
112,"CC15"
113,"CC15"
114,"CC15"
115,"CC15"
116,"CC15"
117,"CC15"
118,"CC15"
119,"CC15"
120,"CC15"
121,"CC15"
122,"CC15"
123,"CC15"
124,"CC15"
125,"CC15"
126,"CC15"
127,"CC15"
128,"CC15"
129,"CC15"
130,"CC15"
131,"CC15"
132,"CC15"
133,"CC15"
134,"CC15"
135,"CC15"
136,"CC15"
137,"CC15"
138,"CC15"
139,"CC15"
140,"CC15"
141,"CC15"
142,"CC15"
143,"CC15"
144,"CC15"
145,"CC15"
146,"CC15"
147,"CC15"
148,"CC15"
168,"CC15"
169,"CC15"
419,"CC15"
452,"CC15"
472,"CC15"
474,"CC15"
475,"CC15"
592,"CC15"
734,"CC15"
740,"CC15"
741,"CC15"
1539,"CC15"
1570,"CC15"
2478,"CC15"
2952,"CC15"
2961,"CC15"
2962,"CC15"
2975,"CC15"
2977,"CC15"
2978,"CC15"
3710,"CC15"
3719,"CC15"
3753,"CC15"
3810,"CC15"
3811,"CC15"
3812,"CC15"
3813,"CC15"
3814,"CC15"
3815,"CC15"
3816,"CC15"
3817,"CC15"
3818,"CC15"
3819,"CC15"
3820,"CC15"
3821,"CC15"
3822,"CC15"
3823,"CC15"
3824,"CC15"
3825,"CC15"
3826,"CC15"
3827,"CC15"
3828,"CC15"
3999,"CC15"
4001,"CC15"
4008,"CC15"
4012,"CC15"
4015,"CC15"
4020,"CC15"
4031,"CC15"
4039,"CC15"
4043,"CC15"
4056,"CC15"
4071,"CC15"
4085,"CC15"
4088,"CC15"
4097,"CC15"
4101,"CC15"
4116,"CC15"
4119,"CC15"
4144,"CC15"
4146,"CC15"
4149,"CC15"
4157,"CC15"
4159,"CC15"
4162,"CC15"
4168,"CC15"
4176,"CC15"
4177,"CC15"
4178,"CC15"
4186,"CC15"
4191,"CC15"
4194,"CC15"
4200,"CC15"
4202,"CC15"
4205,"CC15"
4216,"CC15"
4218,"CC15"
4219,"CC15"
4230,"CC15"
4235,"CC15"
4786,"CC15"
4860,"CC15"
4946,"CC15"
4972,"CC15"
4973,"CC15"
4974,"CC15"
4986,"CC15"
5125,"CC15"
5143,"CC15"
5144,"CC15"
5151,"CC15"
5169,"CC15"
5231,"CC15"
5247,"CC15"
5251,"CC15"
5254,"CC15"
5258,"CC15"
5267,"CC15"
5276,"CC15"
5429,"CC15"
5447,"CC15"
5448,"CC15"
5460,"CC15"
5661,"CC15"
5709,"CC15"
5712,"CC15"
5725,"CC15"
5727,"CC15"
5743,"CC15"
5744,"CC15"
5768,"CC15"
5773,"CC15"
5780,"CC15"
5781,"CC15"
5784,"CC15"
5785,"CC15"
6235,"CC15"
6245,"CC15"
6265,"CC15"
6266,"CC15"
7187,"CC15"
7689,"CC15"
7692,"CC15"
7693,"CC15"
7727,"CC15"
7733,"CC15"
7735,"CC15"
7741,"CC15"
7747,"CC15"
7749,"CC15"
